Date,Open,High,Low,Close,Adj Close,Volume
2017-07-12,224.149994,226.660004,193.199997,205.410004,205.410004,196303864
2017-07-13,205.410004,207.070007,182.619995,197.139999,197.139999,181470096
2017-07-14,197.139999,198.710007,168.949997,169.100006,169.100006,176484014
2017-07-15,169.100006,171.910004,132.639999,155.419998,155.419998,374176884
2017-07-16,155.419998,190.259995,154.250000,189.970001,189.970001,352420261
2017-07-17,189.970001,256.890015,177.419998,227.089996,227.089996,642203465
2017-07-18,227.089996,244.020004,187.210007,194.410004,194.410004,576048989
2017-07-19,194.410004,235.860001,194.410004,226.330002,226.330002,504434488
2017-07-20,226.330002,236.619995,209.460007,216.330002,216.330002,233383296
2017-07-21,216.330002,236.550003,215.300003,230.470001,230.470001,151128752
2017-07-22,230.470001,234.169998,220.300003,228.320007,228.320007,128301932
2017-07-23,228.320007,229.559998,224.039993,225.479996,225.479996,90165893
2017-07-24,225.479996,225.979996,192.639999,203.589996,203.589996,285374761
2017-07-25,203.589996,209.289993,193.100006,202.880005,202.880005,161659275
2017-07-26,202.880005,205.679993,198.929993,202.929993,202.929993,102009361
2017-07-27,202.929993,203.929993,189.770004,191.210007,191.210007,123425467
2017-07-28,191.210007,209.570007,177.690002,206.139999,206.139999,192325102
2017-07-29,206.139999,209.880005,194.119995,196.779999,196.779999,110586575
2017-07-30,196.779999,201.779999,190.529999,201.330002,201.330002,103641349
2017-07-31,201.330002,232.550003,201.270004,225.899994,225.899994,314260050
2017-08-01,225.899994,228.979996,215.710007,218.119995,218.119995,122967812
2017-08-02,218.119995,228.080002,217.839996,224.389999,224.389999,93201219
2017-08-03,224.389999,227.449997,219.729996,220.600006,220.600006,87804496
2017-08-04,220.600006,258.470001,219.720001,253.089996,253.089996,251531536
2017-08-05,253.089996,272.220001,251.789993,264.559998,264.559998,219315844
2017-08-06,264.559998,274.390015,257.410004,269.940002,269.940002,158590573
2017-08-07,269.940002,299.549988,266.940002,296.510010,296.510010,229459233
2017-08-08,296.510010,314.750000,279.100006,295.279999,295.279999,439031586
2017-08-09,295.239990,310.179993,289.220001,298.279999,298.279999,173781086
2017-08-10,298.279999,310.359985,295.940002,309.320007,309.320007,146799311
2017-08-11,309.320007,319.140015,303.709991,308.019989,308.019989,198463746
2017-08-12,308.019989,308.869995,288.040009,296.619995,296.619995,209757139
2017-08-13,296.619995,306.299988,294.739990,299.160004,299.160004,138516552
2017-08-14,299.160004,299.709991,271.380005,286.519989,286.519989,209502360
2017-08-15,286.519989,303.290009,280.660004,301.380005,301.380005,143590085
2017-08-16,301.380005,310.429993,298.190002,300.299988,300.299988,141776697
2017-08-17,300.299988,306.519989,287.170013,292.619995,292.619995,155333057
2017-08-18,292.619995,298.790009,283.649994,293.019989,293.019989,133331931
2017-08-19,293.019989,298.779999,288.480011,298.200012,298.200012,86214711
2017-08-20,298.200012,345.440002,294.929993,321.850006,321.850006,371320147
2017-08-21,321.850006,329.390015,293.089996,313.369995,313.369995,255666010
2017-08-22,313.369995,325.100006,313.160004,317.399994,317.399994,136793702
2017-08-23,317.399994,328.649994,315.940002,325.279999,325.279999,113467892
2017-08-24,325.279999,337.239990,324.690002,330.059998,330.059998,142040413
2017-08-25,330.059998,334.700012,325.899994,332.859985,332.859985,70828266
2017-08-26,332.859985,347.920013,332.799988,347.880005,347.880005,113661914
2017-08-27,347.880005,350.500000,335.410004,347.660004,347.660004,155518324
2017-08-28,347.660004,375.179993,347.239990,372.350006,372.350006,245077133
2017-08-29,372.350006,390.640015,367.410004,383.859985,383.859985,247280361
2017-08-30,383.859985,389.640015,380.890015,388.329987,388.329987,129260777
2017-08-31,388.329987,395.299988,386.709991,391.420013,391.420013,192664622
2017-09-01,391.420013,392.040009,328.869995,351.029999,351.029999,392672123
2017-09-02,351.029999,370.500000,336.369995,352.450012,352.450012,220213614
2017-09-03,352.450012,352.450012,279.950012,303.700012,303.700012,518097340
2017-09-04,303.700012,324.369995,275.970001,317.940002,317.940002,285969365
2017-09-05,317.940002,341.769989,317.820007,338.920013,338.920013,207751167
2017-09-06,338.920013,338.920013,323.359985,335.369995,335.369995,145609934
2017-09-07,335.369995,335.390015,293.119995,306.720001,306.720001,307973324
2017-09-08,306.720001,309.070007,293.709991,303.790009,303.790009,127930167
2017-09-09,303.790009,305.760010,280.700012,299.209991,299.209991,179819553
2017-09-10,299.209991,308.299988,288.600006,297.950012,297.950012,149130023
2017-09-11,297.950012,316.380005,285.750000,294.100006,294.100006,212949898
2017-09-12,294.100006,294.390015,257.160004,275.839996,275.839996,328829086
2017-09-13,275.839996,280.649994,222.059998,223.139999,223.139999,448360655
2017-09-14,223.139999,267.700012,200.750000,259.570007,259.570007,601118554
2017-09-15,259.570007,272.429993,245.740005,254.490005,254.490005,213735353
2017-09-16,254.490005,265.779999,239.979996,258.399994,258.399994,129073620
2017-09-17,258.399994,300.690002,258.359985,297.529999,297.529999,316944028
2017-09-18,297.529999,299.910004,275.940002,283.000000,283.000000,211173075
2017-09-19,283.000000,293.739990,277.720001,283.559998,283.559998,119360306
2017-09-20,283.559998,287.130005,252.220001,257.769989,257.769989,213821119
2017-09-21,257.769989,270.739990,254.279999,262.940002,262.940002,128332019
2017-09-22,262.940002,286.720001,259.579987,286.140015,286.140015,111790766
2017-09-23,286.140015,294.540009,276.250000,282.600006,282.600006,129812958
2017-09-24,282.600006,297.010010,282.480011,294.890015,294.890015,125825077
